,precision,recall,f1-score,support
0,0.9684542586750788,0.9654088050314465,0.9669291338582677,318.0
1,0.9795158286778398,0.9813432835820896,0.9804287045666356,536.0
accuracy,0.9754098360655737,0.9754098360655737,0.9754098360655737,0.9754098360655737
macro avg,0.9739850436764593,0.973376044306768,0.9736789192124516,854.0
weighted avg,0.9753968834074909,0.9754098360655737,0.9754019323356508,854.0
