,precision,recall,f1-score,support
0,0.9838709677419355,0.9591194968553459,0.9713375796178344,318.0
1,0.9761029411764706,0.9906716417910447,0.9833333333333333,536.0
accuracy,0.9789227166276346,0.9789227166276346,0.9789227166276346,0.9789227166276346
macro avg,0.979986954459203,0.9748955693231953,0.9773354564755838,854.0
weighted avg,0.9789954850263743,0.9789227166276346,0.9788665304275621,854.0
